2025-09-19 13:57:31 install libwww-perl:all <none> 6.68-1
2025-09-19 13:57:31 status half-installed libwww-perl:all 6.68-1
2025-09-19 13:57:31 status unpacked libwww-perl:all 6.68-1
2025-09-19 13:57:31 install ieee-data:all <none> 20220827.1
2025-09-19 13:57:31 status half-installed ieee-data:all 20220827.1
2025-09-19 13:57:31 status unpacked ieee-data:all 20220827.1
2025-09-19 13:57:31 install libauthen-sasl-perl:all <none> 2.1600-3
2025-09-19 13:57:31 status half-installed libauthen-sasl-perl:all 2.1600-3
2025-09-19 13:57:31 status unpacked libauthen-sasl-perl:all 2.1600-3
2025-09-19 13:57:31 install libdata-dump-perl:all <none> 1.25-1
2025-09-19 13:57:31 status half-installed libdata-dump-perl:all 1.25-1
2025-09-19 13:57:31 status unpacked libdata-dump-perl:all 1.25-1
2025-09-19 13:57:31 install libfont-afm-perl:all <none> 1.20-4
2025-09-19 13:57:31 status half-installed libfont-afm-perl:all 1.20-4
2025-09-19 13:57:31 status unpacked libfont-afm-perl:all 1.20-4
2025-09-19 13:57:31 install libhtml-form-perl:all <none> 6.11-1
2025-09-19 13:57:31 status half-installed libhtml-form-perl:all 6.11-1
2025-09-19 13:57:31 status unpacked libhtml-form-perl:all 6.11-1
2025-09-19 13:57:31 install libhtml-format-perl:all <none> 2.16-2
2025-09-19 13:57:31 status half-installed libhtml-format-perl:all 2.16-2
2025-09-19 13:57:31 status unpacked libhtml-format-perl:all 2.16-2
2025-09-19 13:57:32 install libhttp-daemon-perl:all <none> 6.16-1
2025-09-19 13:57:32 status half-installed libhttp-daemon-perl:all 6.16-1
2025-09-19 13:57:32 status unpacked libhttp-daemon-perl:all 6.16-1
2025-09-19 13:57:32 install libnet-smtp-ssl-perl:all <none> 1.04-2
2025-09-19 13:57:32 status half-installed libnet-smtp-ssl-perl:all 1.04-2
2025-09-19 13:57:32 status unpacked libnet-smtp-ssl-perl:all 1.04-2
2025-09-19 13:57:32 install libmailtools-perl:all <none> 2.21-2
2025-09-19 13:57:32 status half-installed libmailtools-perl:all 2.21-2
2025-09-19 13:57:32 status unpacked libmailtools-perl:all 2.21-2
2025-09-19 13:57:32 install libtext-csv-perl:all <none> 2.02-2
2025-09-19 13:57:32 status half-installed libtext-csv-perl:all 2.02-2
2025-09-19 13:57:32 status unpacked libtext-csv-perl:all 2.02-2
2025-09-19 13:57:32 install libtext-csv-xs-perl:amd64 <none> 1.49-1
2025-09-19 13:57:32 status half-installed libtext-csv-xs-perl:amd64 1.49-1
2025-09-19 13:57:32 status unpacked libtext-csv-xs-perl:amd64 1.49-1
2025-09-19 13:57:32 startup packages configure
2025-09-19 13:57:32 configure libexpat1:amd64 2.5.0-1+deb12u2 <none>
2025-09-19 13:57:32 status unpacked libexpat1:amd64 2.5.0-1+deb12u2
2025-09-19 13:57:32 status half-configured libexpat1:amd64 2.5.0-1+deb12u2
2025-09-19 13:57:32 status installed libexpat1:amd64 2.5.0-1+deb12u2
2025-09-19 13:57:32 configure runit-helper:all 2.15.2 <none>
2025-09-19 13:57:32 status unpacked runit-helper:all 2.15.2
2025-09-19 13:57:32 status half-configured runit-helper:all 2.15.2
2025-09-19 13:57:32 status installed runit-helper:all 2.15.2
2025-09-19 13:57:32 configure libapparmor1:amd64 3.0.8-3 <none>
2025-09-19 13:57:32 status unpacked libapparmor1:amd64 3.0.8-3
2025-09-19 13:57:32 status half-configured libapparmor1:amd64 3.0.8-3
2025-09-19 13:57:32 status installed libapparmor1:amd64 3.0.8-3
2025-09-19 13:57:32 configure libssl3:amd64 3.0.17-1~deb12u2 <none>
2025-09-19 13:57:32 status unpacked libssl3:amd64 3.0.17-1~deb12u2
2025-09-19 13:57:32 status half-configured libssl3:amd64 3.0.17-1~deb12u2
2025-09-19 13:57:32 status installed libssl3:amd64 3.0.17-1~deb12u2
2025-09-19 13:57:32 configure perl-openssl-defaults:amd64 7+b1 <none>
2025-09-19 13:57:32 status unpacked perl-openssl-defaults:amd64 7+b1
2025-09-19 13:57:32 status half-configured perl-openssl-defaults:amd64 7+b1
2025-09-19 13:57:32 status installed perl-openssl-defaults:amd64 7+b1
2025-09-19 13:57:32 configure libjansson4:amd64 2.14-2 <none>
2025-09-19 13:57:32 status unpacked libjansson4:amd64 2.14-2
2025-09-19 13:57:32 status half-configured libjansson4:amd64 2.14-2
